bctcb2020,cenblock20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
10012001002,360610012001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012001003,360610012001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012001004,360610012001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012001005,360610012001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012001006,360610012001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012001007,360610012001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012001008,360610012001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012001009,360610012001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012001010,360610012001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10012001011,360610012001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0
10012001012,360610012001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0
10012002000,360610012002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012002001,360610012002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012002002,360610012002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012002003,360610012002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012002004,360610012002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012002005,360610012002005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012002006,360610012002006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012002007,360610012002007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012002008,360610012002008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10012002009,360610012002009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0
10012003000,360610012003000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012003001,360610012003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012003002,360610012003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012003003,360610012003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012003004,360610012003004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012003005,360610012003005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012003006,360610012003006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0
10013001000,360610013001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0
10013001001,360610013001001,0,0,0,0,-4,0,0,0,0,0,0,0,0,1,0,114,0,0,462,8,-2
10013001002,360610013001002,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,630,0,0,0,0,0
